thread_id,turn_pos,tweet_id,author_id,inbound,text,parent,cluster_k9
0,1,203,microsofthelps,False,"@115751 Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from @XboxSupport.",205,8
0,2,206,microsofthelps,False,"@115751 Hello, Josh! Please help us improve our Twitter support by answering our survey on this link: https://t.co/eTy5gzzUfj. Thank you.",205,8
1,1,207,microsofthelps,False,@115752 Help is here. To assist you in recovering your account we recommend that you contact our Answer desk team: https://t.co/7zSM1QXPMD.,208,1
2,5,2293,microsofthelps,False,"@116229 Just to clarify, have your tried following the troubleshooting methods provided by Andre Da Costa on the link you provided?",2294,7
2,7,2291,microsofthelps,False,@116229 We want to resolve this for you. We suggest you to get in touch with our Answer desk team: https://t.co/Jo5IpyEY0u.,2292,7
3,2,2299,microsofthelps,False,@116231 Hello! It's our utmost pleasure to help. The best way to avoid phone scam is in this link: https://t.co/ZycMz6l77L.,2301,1
3,4,2302,microsofthelps,False,"@116231 Let us guide you to report scams. On the link provided to you. Kindly go to ""How to report tech support scams"".",2300,1
4,1,4507,microsofthelps,False,"@116767 Hello, Chris. Let's investigate this. Are you still experiencing the issue? What troubleshooting steps have you tried so far?",4511,1
4,5,4512,microsofthelps,False,"@116767 Yikes! Just to clarify, which device are you using? Let's continue this troubleshooting via DM. We'll wait for you. https://t.co/3qcAsLFkaY",4508,1
5,1,7884,microsofthelps,False,"@117342 Hi, John! We want to know your experience with us. Please rate our support by clicking this link:  https://t.co/WZSiH8UqZU.",7885,1
5,2,7886,microsofthelps,False,"@117342 Hi, John! Thank you for reaching out. You can contact our Groove support through this link: https://t.co/FrC82ogbx1.",7885,1
6,1,8465,microsofthelps,False,@117488 Hi. We're here to help. Could you give us more details regarding your concern? Which device are you pertaining to? https://t.co/3qcAsLFkaY,8466,1
6,3,8460,microsofthelps,False,@117488 Hi! Thanks for bringing this up. Which version of Windows are you running? Did you make any changes prior to this issue? Have you tried checking the games support site for troubleshooting steps?,8462,1
6,5,8463,microsofthelps,False,"@117488 We suggest creating a temporary admin account and try to sign, then try to check if you will encounter the same issue.",8461,1
7,1,9690,microsofthelps,False,"@117762 Hello, James. Just doing a follow-up on your case. Are you successful in updating your address?",9691,1
7,2,9692,microsofthelps,False,@117762 Hellos James. You will need to cancel your current order and place a new one so you can include your updated details.,9691,1
7,4,9687,microsofthelps,False,@117762 Just checking if you need further help. Is everything good now? https://t.co/3qcAsLFkaY,9688,1
7,5,9689,microsofthelps,False,@117762 Thank you for your response. What was the feedback given to you by the support team? https://t.co/3qcAsLFkaY,9688,1
7,7,9684,microsofthelps,False,"@117762 We want to know your experience with us, James! Rate our support by clicking this link: https://t.co/V2K0N6f79E. Thanks!",9685,1
7,8,9686,microsofthelps,False,@117762 That sounds good! Feel free to contact us if you need assistance. 🙂,9685,1
8,2,11883,microsofthelps,False,@118331 Hi. That's strange. Let's make sure that all your driver was updated. Here's how: https://t.co/paTrSXK1Xn. Update us.,11884,1
8,4,11881,microsofthelps,False,@118331 Thank you for the info. Since the driver is already up-to-date. We suggest performing a clean boot: https://t.co/XbaHzIjbi4.,11882,1
8,6,11876,microsofthelps,False,@118331 Hello. Just doing a follow-up on your case. Are you still experiencing the issue?,11878,1
8,7,11880,microsofthelps,False,@118331 That's good to hear! Let us know how things go.,11878,1
8,9,11879,microsofthelps,False,"@118331 Great! We're glad that the issue was resolved. Should you need further help, please let us know.",11877,1
9,1,11889,microsofthelps,False,@118332 Hi! Let's investigate this. Which version of Windows are you using? What do you mean by built-in administrator?,11890,1
9,3,11886,microsofthelps,False,@118332 Hello. Just doing a follow-up on your case. Are you still experiencing the issue?,11887,1
9,4,11888,microsofthelps,False,@118332 Hello. Let's get this sorted. Have you tried to delete the folder in safe mode? Please tell us more details about your concern.,11887,1
10,1,11894,microsofthelps,False,@118333 2/2 Store app or via Microsoft Store online?,11895,1
10,2,11896,microsofthelps,False,"@118333 1/2 Hi there, Bill! Were here to help. Just to clarify, where are you trying yo download an app? Is it from the Windows",11895,1
10,4,11891,microsofthelps,False,"@118333 Hello, Bill. Let us know on how we can improve our support here: https://t.co/ofGxB7VRWk. Thank you.",11892,1
10,5,11893,microsofthelps,False,@118333 That's strange. It'd be best if you contact Skype team for them to have this checked: https://t.co/GXtywAwJoV. You'll be in good hands.,11892,1
11,1,11897,microsofthelps,False,"@118335 Hello, Domenico. Let us know on how we can improve our support here: https://t.co/EUlptOQnck. Thank you.",11898,6
11,2,11899,microsofthelps,False,"@118335 Let's investigate this, Domenico. Have you tried to change the wire of the monitor? Can you try to extend the screen?",11898,6
11,3,11900,microsofthelps,False,"@118335 Hello, Domenico. Just doing a follow-up on your case. Are you still experiencing the issue?",11898,6
12,1,11901,microsofthelps,False,"@118336 Allow us to help, Damian. Meet us through Direct Message and we'll take it from there. https://t.co/3qcAsLFkaY",11902,6
12,2,11905,microsofthelps,False,"@118336 Hi. Just doing a follow-up. Do you still need assistance with your concern? If yes, send us a Direct Message.",11902,6
13,1,11907,microsofthelps,False,"@118337 Let's work on this, Claire. Are you getting an error message when resetting your password? Send us a screenshot through DM.",11909,5
13,3,11910,microsofthelps,False,@118337 Thanks for the info. Let's try to reset your password using this link: https://t.co/JpnONEeZuA. Let us know how it goes. https://t.co/3qcAsLFkaY,11908,5
13,5,11912,microsofthelps,False,@118337 Thank you for the update. We encourage you to be persistent and keep trying to recover your account using the recovery form.,11911,5
13,6,11913,microsofthelps,False,@118337 We'd like to follow up on the status of your concern. Feel free to reach us back if you need further assistance.,11911,5
14,3,12851,microsofthelps,False,@118602 Hi. Let's take a look at this. Which Windows version are you using? Have you made any changes prior to the issue?,12853,8
14,5,12854,microsofthelps,False,@118602 Thanks for the info. Could you please send us a DM so we could go in detail with our troubleshooting? https://t.co/3qcAsLFkaY,12852,8
15,3,12860,microsofthelps,False,@118603 Hello there! Let's sort this out. Can you send us a screenshot of the exact error message that you received?,12861,3
15,5,12857,microsofthelps,False,@118603 We'd love to hear from you. Share us your thoughts about our support here: https://t.co/mDHzxcLaWY.,12858,3
15,6,12859,microsofthelps,False,"@118603 For us to assist you and check your concern, contact support here: https://t.co/cL1bjse6Th.",12858,3
16,1,12869,microsofthelps,False,"@118604 Hi, Yuyut. On what account or device are you trying to sign in?",12871,8
16,4,12866,microsofthelps,False,"@118604 2/2  Click ""Ask a Question"" on the upper right corner. Thank you.",12867,8
16,5,12868,microsofthelps,False,@118604 1/2 We don't have direct email. You can post your query via Community Forum for assistance: https://t.co/jsa5yeYZ1T.,12867,8
16,7,12864,microsofthelps,False,"@118604 To better assist you, send us a Direct Message. For security purposes, kindly delete your tweet that contains your email address.",12865,8
17,1,12874,microsofthelps,False,"@118605 Hi, Yudhi. Let's sort this out. Are you using Wi-Fi? Can you check your phone's date and time? Have you tried any troubleshooting?",12875,1
17,3,12872,microsofthelps,False,"@118605 Got it. To resolve issues with the error code 0x803FB005, follow WPhoneUSer88's advice on this thread: https://t.co/awXxhdJLhb.",12873,1
18,3,12885,microsofthelps,False,"@118606 Hi, Alice! Let's work on this together. Can you send us a screenshot or video, so we can easily figure it out?",12886,2
18,6,12876,microsofthelps,False,"@118606 Hello, Alice. Just doing a follow-up on your case. Are you still experiencing the issue?",12878,2
18,7,12883,microsofthelps,False,@118606 Thanks for the video. We suggest performing the SFC and DISM scan. Check the steps here: https://t.co/6hQTvb57dK. Let us know how it goes.,12878,2
18,9,12879,microsofthelps,False,"@118606 No worries, Alice. Our technical team will further assist you with this. You can reach them on this link: https://t.co/kWTy40Cj8w.",12877,2
19,1,13767,microsofthelps,False,"@118889 We got your back, Kyle. Just to clarify, are you getting any error messages when signing into your Microsoft account?",13769,5
19,4,13764,microsofthelps,False,"@118889 Since the password reset didn't work, let's try to recover your account. Follow the steps found here: https://t.co/vavT1TA3kk.",13765,5
19,5,13766,microsofthelps,False,"@118889 Hi, Kyle. Just checking up on you. Were you able to recover your account?",13765,5
20,1,13793,microsofthelps,False,"@118890 Hi. We're here to help. For us to assist you further, could you tell us more details about the issue?",13794,6
20,3,13789,microsofthelps,False,"@118890 Let's dig further into your concern. Just to clarify, were there any recent changes prior to this issue? Any error message?",13792,6
20,7,13784,microsofthelps,False,@118890 May we know what troubleshooting steps have you done so far?,13787,6
20,13,13782,microsofthelps,False,@118890 Did you modify your modem? Have you tried contacting your Internet Service Provider?,13783,6
20,17,21265,microsofthelps,False,"@118890 In that case, let's use this link instead: https://t.co/waYW94gqDT. Let us know how it goes.",21266,6
20,18,21267,microsofthelps,False,"@118890 Hi, Robert. Help us improve our Twitter support by answering our survey on this link: https://t.co/OEGyFiwfmP. Thank you.",21266,6
20,20,13780,microsofthelps,False,"@118890 We highly suggest you to contact your Internet service provider. If you need assistance, we're just a tweet away.",13781,6
20,22,13775,microsofthelps,False,@118890 1/2 Your Internet Service Provider can check if they have another customer experiencing the same issue that you have with Windows https://t.co/3qcAsLFkaY,13778,6
20,23,13779,microsofthelps,False,"@118890 2/2 10. Also, if possible, can you send us a DM for further assistance? Thank you. https://t.co/3qcAsLFkaY",13778,6
20,28,13773,microsofthelps,False,"@118890 In that case, kindly contact our Answer Desk support for more in-depth troubleshooting on this link: https://t.co/yMM7mSfwLF.",13774,6
20,30,13770,microsofthelps,False,@118890 2/2 https://t.co/XCt8AifoxD to get in touch with our Answer Desk team.,13771,6
20,31,13772,microsofthelps,False,"@118890 1/2 That's strange. The link provided is working on our end. However, you can directly click this link:",13771,6
21,3,16335,microsofthelps,False,"@119592 Got it. Just to clarify, is the driver updated through the manufacturer's website?",16336,8
21,5,16330,microsofthelps,False,@119592 2/2 posted by Likhitha V on this link: https://t.co/G9BRRnIPz8. Let us know if it helps.,16331,8
21,6,16332,microsofthelps,False,@119592 1/2 We have found a discussion that may help you resolve your touchpad issue. Kindly follow the troubleshooting steps,16331,8
21,7,16333,microsofthelps,False,@119592 Hi! How's everything? Please let us know more about your experience here: https://t.co/AX54lBiGSf.,16331,8
21,8,16334,microsofthelps,False,@119592 Hello there. How's it going? Do you still need our assistance? Just let us know and we're here for you. 😃,16331,8
22,1,16342,microsofthelps,False,@119593 Good day! How are you? Checking back with you. Is everything working on your end? Let us know if you need further assistance.,16343,1
22,2,16344,microsofthelps,False,"@119593 Hello, Kolina! We're here to help. Are you getting any error messages?",16343,1
22,4,16339,microsofthelps,False,@119593 Please send us a screenshot of the error message. May we know which MS Word version are you using? Let us know.,16340,1
22,5,16341,microsofthelps,False,@119593 Hi. We'd like to follow up on the status of your concern. Feel free to reach us back if you need further assistance.,16340,1
22,7,1438368,microsofthelps,False,"@119593 We're here to help, Kolina! Just to clarify, have you already tried uninstalling and reinstalling? Let's see if it works.",1438367,1
22,8,1438369,microsofthelps,False,"@119593 Hello, Kolina! How's it going? Tweet us back if you further assistance.",1438367,1
23,2,16349,microsofthelps,False,"@119594 We hear you. For in-depth assistance, contact Xbox support here: https://t.co/J1kKUT1Bbd. Game on! https://t.co/X9SqrizZM5",16347,1
24,1,18034,microsofthelps,False,"@120006 Hi, Derek! Help is here. May we know which version of you are using? https://t.co/3qcAsLFkaY",18035,8
25,3,19852,microsofthelps,False,@120361 Hi there. How's it going? Please let us know if you need further assistance. We're here for you.,19854,1
25,4,19863,microsofthelps,False,@120361 Thanks for the info. Let's try to troubleshoot your device by performing a clean boot using this link: https://t.co/i1iUuvQ6zI. https://t.co/3qcAsLFkaY,19854,1
25,6,19855,microsofthelps,False,@120361 Hi. We'd like to follow up on the status of your concern. Feel free to reach us back if you need further assistance.,19853,1
25,8,19857,microsofthelps,False,"@120361 Hmm. Just to clarify, which Windows version are you using? Were there changes made to your device prior to this issue?",19856,1
25,10,19859,microsofthelps,False,@120361 We suggest performing a clean boot by following the steps found on this link: https://t.co/lgCuG7k8Ls.,19858,1
25,12,19861,microsofthelps,False,@120361 Hi there! Were you able to boot up your device in safe mode? Do you still need our help? https://t.co/3qcAsLFkaY,19860,1
25,13,19862,microsofthelps,False,@120361 Can you try booting up your device in safe mode and see if you’ll have the same issue there. Here’s how: https://t.co/Ztm0WoIkXt. https://t.co/3qcAsLFkaY,19860,1
26,3,19870,microsofthelps,False,"@120364 Hi, Roderick. How's it going? Please let us know if you need further assistance. We're here for you. https://t.co/3qcAsLFkaY",19871,1
26,4,19872,microsofthelps,False,@120364 Thanks for the info. Let's try to troubleshoot your Edge browser using this link: https://t.co/qgTLHpL6Vv. https://t.co/3qcAsLFkaY,19871,1
27,5,19875,microsofthelps,False,@120365 Hi there. How's it going? Please let us know if you need further assistance. We're here for you.,19878,1
27,6,19879,microsofthelps,False,@120365 Hi there. It'd be best to get in touch with our Answer Desk team for in-depth support here: https://t.co/C5taBU1nDu. https://t.co/3qcAsLFkaY,19878,1
28,1,19894,microsofthelps,False,"@120367 Let's sort this out, Ryan. Could you check your Outlook version? Here's how: https://t.co/XvqZQyTwN6.",19895,8
28,3,19892,microsofthelps,False,@120367 We suggest that you check if you set up your email correctly. Visit this link: https://t.co/FVDi6i31pS. Tweet us back!,19893,8
28,5,19884,microsofthelps,False,"@120367 Hi, Ryan. How's it going? Please let us know if you need further assistance. We're here for you.",19888,8
28,6,19891,microsofthelps,False,@120367 That's strange. It'd be best to get in touch with our Answer Desk team for in-depth support here: https://t.co/VXGrUK3x2q. https://t.co/3qcAsLFkaY,19888,8
28,10,19889,microsofthelps,False,"@120367 We'll do. Were you given a case number after contacting our support? If yes, kindly DM it so we can look into it.",19885,8
29,1,22728,microsofthelps,False,@120969 Hi. Let's sort this out. Have you tried it on a different browser? You may also try to clear cache and cookies.,22730,1
